
""
"Kontostand vom 05.02.2024:";"10000 EUR"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
2020-12-17;2000-08-23;Erfolgreich;Mercedes Scholz;Adeline Siering-Keudel;Consequuntur porro ipsam eos consectetur quae.;Überweisung;DE06223616299260426355;631,14;821154842030430975;147018229875432657;103736825054983266
2016-05-17;1974-12-22;Abgelehnt;Dipl.-Ing. Irmgard Röhricht;Sigurd Schäfer;Reiciendis ullam deserunt velit nihil laudantium consequuntur beatae.;Überweisung;DE59515085204700413089;137,04;587971213635800330;222978253446831290;307197934466222886
1983-03-22;2018-10-13;Erfolgreich;Prof. Slobodan Hübel B.Sc.;Ing. Simona Gertz MBA.;Corrupti dolorem dolore nisi repellat.;Lastschrift;DE86125655533559231411;-178,5;212368006503925853;513235795490368060;766604151413254721
1991-05-17;2022-05-19;Erfolgreich;Roland Nette-Zobel;Vitus Langern-Mälzer;Occaecati molestiae consequatur dolor ratione nihil.;Überweisung;DE58902010226609986352;-473,78;886271216676226300;639215782222183588;890227810600097287
2023-01-14;1989-08-25;Erfolgreich;Dr. Eveline Walter;Ing. Concetta Ullrich B.Eng.;Amet illo deleniti id inventore ut.;Überweisung;DE58647315702859813852;-119,13;530104805634330725;975571936909551204;234867489061626176
1983-08-18;1986-09-22;Abgelehnt;Herr Cemil Butte B.Eng.;Anastasios Hertrampf;Consectetur consectetur voluptas at itaque fuga sunt.;Lastschrift;DE96720726529658392175;-472,03;947371096166471639;924696706022790297;627631338456836790
2017-03-09;2000-06-12;Erfolgreich;Katy Drubin-Weihmann;Friedrich-Karl Sorgatz-Briemer;Id incidunt laboriosam modi tenetur nihil incidunt.;Überweisung;DE40854493398373418130;976,61;655226563369039143;887485732835199185;830555337792955225
1981-05-12;2011-11-24;Abgelehnt;Iris Scholz-Otto;Jane Patberg;Qui maiores et neque modi earum.;Lastschrift;DE80340787540837272490;175,83;000066504623287289;885870555613833354;443065554060189949
2010-01-24;2021-06-24;Erfolgreich;Mathias Grein Groth;Heinz-Dieter Pohl;Adipisci cumque dolore blanditiis distinctio aspernatur similique facilis.;Überweisung;DE74509386331075932747;718,03;238826672099416648;574975107721666010;376301044454149201
1974-01-04;2008-10-20;Abgelehnt;Marten Weimer;Felicia Boucsein;Possimus labore inventore sint ipsam nulla tenetur.;Überweisung;DE63749895471814849381;-805,5;824709650440443653;735765933500047070;559982310641115749
1991-07-30;2022-08-21;Erfolgreich;Prof. Mirko Scholtz;August Jockel;Optio animi corporis ad omnis.;Lastschrift;DE72235676445609646733;381,13;590752340962883694;718357556518511189;117525561907171517
1987-01-24;2014-08-22;Abgelehnt;Herr Ignaz Heinrich MBA.;Dr. Benedikt Martin;Minus totam repudiandae in laudantium necessitatibus debitis.;Lastschrift;DE59651993541579663390;361,31;037835117235325473;606070461399968590;995115400513035130
1980-08-26;1973-07-09;Erfolgreich;Ing. Birgitt Mude MBA.;Heinz-Georg Hermann;Ea possimus molestias.;Überweisung;DE74667455436605527947;-793,55;053606512286909468;188984743958553621;826332839711517121
1983-06-05;1982-05-07;Erfolgreich;Ing. Slavko Mülichen;Marieluise Plath;Beatae alias impedit cum non placeat eveniet excepturi.;Überweisung;DE81706190798980419980;-307,85;991467087960710701;633936308463245979;183631009542591753
